159;(%STANDARD%: Olivetti 386SX16);Type 33;100;776,00;8,00;33,00;-1,00;775,00;RLL;776,00;8,00;33,00
160;(%STANDARD%: Olivetti 386SX16);Type 34;41;745,00;4,00;28,00;-1,00;744,00;RLL;745,00;4,00;28,00
161;(%STANDARD%: Olivetti 386SX16);Type 35;40;965,00;5,00;17,00;-1,00;964,00;MFM;965,00;5,00;17,00
162;(%STANDARD%: Olivetti 386SX16);Type 36;41;805,00;4,00;26,00;-1,00;804,00;RLL;805,00;4,00;26,00
163;(%STANDARD%: Olivetti 386SX16);Type 37;100;776,00;8,00;33,00;-1,00;775,00;RLL;776,00;8,00;33,00
164;(%STANDARD%: Compaq Deskpro 386);Type 1;10;306,00;4,00;17,00;128,00;305,00;MFM;306,00;4,00;17,00
165;(%STANDARD%: Compaq Deskpro 386);Type 2;20;615,00;4,00;17,00;128,00;638,00;MFM;615,00;4,00;17,00
166;(%STANDARD%: Compaq Deskpro 386);Type 3;31;615,00;6,00;17,00;128,00;615,00;MFM;615,00;6,00;17,00
167;(%STANDARD%: Compaq Deskpro 386);Type 4;68;1024,00;8,00;17,00;512,00;1023,00;MFM;1024,00;8,00;17,00
168;(%STANDARD%: Compaq Deskpro 386);Type 5;47;940,00;6,00;17,00;512,00;939,00;MFM;940,00;6,00;17,00
169;(%STANDARD%: Compaq Deskpro 386);Type 6;29;697,00;5,00;17,00;128,00;696,00;MFM;697,00;5,00;17,00
170;(%STANDARD%: Compaq Deskpro 386);Type 7;31;462,00;8,00;17,00;256,00;511,00;MFM;462,00;8,00;17,00
171;(%STANDARD%: Compaq Deskpro 386);Type 8;38;925,00;5,00;17,00;128,00;924,00;MFM;925,00;5,00;17,00
172;(%STANDARD%: Compaq Deskpro 386);Type 9;112;900,00;15,00;17,00;-1,00;899,00;MFM;900,00;15,00;17,00
173;(%STANDARD%: Compaq Deskpro 386);Type 10;41;980,00;5,00;17,00;-1,00;980,00;MFM;980,00;5,00;17,00
174;(%STANDARD%: Compaq Deskpro 386);Type 11;54;925,00;7,00;17,00;128,00;924,00;MFM;925,00;7,00;17,00
175;(%STANDARD%: Compaq Deskpro 386);Type 12;69;925,00;9,00;17,00;128,00;924,00;MFM;925,00;9,00;17,00
176;(%STANDARD%: Compaq Deskpro 386);Type 13;41;612,00;8,00;17,00;256,00;611,00;MFM;612,00;8,00;17,00
177;(%STANDARD%: Compaq Deskpro 386);Type 14;33;980,00;4,00;17,00;128,00;980,00;MFM;980,00;4,00;17,00
178;(%STANDARD%: Compaq Deskpro 386);Type 16;20;612,00;4,00;17,00;0,00;612,00;MFM;612,00;4,00;17,00
179;(%STANDARD%: Compaq Deskpro 386);Type 17;41;980,00;5,00;17,00;128,00;980,00;MFM;980,00;5,00;17,00
180;(%STANDARD%: Compaq Deskpro 386);Type 18;48;966,00;6,00;17,00;128,00;966,00;MFM;966,00;6,00;17,00
181;(%STANDARD%: Compaq Deskpro 386);Type 19;68;1023,00;8,00;17,00;-1,00;1023,00;MFM;1023,00;8,00;17,00
182;(%STANDARD%: Compaq Deskpro 386);Type 20;30;733,00;5,00;17,00;256,00;732,00;MFM;733,00;5,00;17,00
183;(%STANDARD%: Compaq Deskpro 386);Type 21;43;733,00;7,00;17,00;256,00;732,00;MFM;733,00;7,00;17,00
184;(%STANDARD%: Compaq Deskpro 386);Type 22;40;805,00;6,00;17,00;-1,00;805,00;MFM;805,00;6,00;17,00
185;(%STANDARD%: Compaq Deskpro 386);Type 23;61;924,00;8,00;17,00;-1,00;924,00;MFM;924,00;8,00;17,00
186;(%STANDARD%: Compaq Deskpro 386);Type 24;112;966,00;14,00;17,00;-1,00;966,00;MFM;966,00;14,00;17,00
187;(%STANDARD%: Compaq Deskpro 386);Type 25;128;966,00;16,00;17,00;-1,00;966,00;MFM;966,00;16,00;17,00
188;(%STANDARD%: Compaq Deskpro 386);Type 26;119;1023,00;14,00;17,00;-1,00;1023,00;MFM;1023,00;14,00;17,00
